"Ngày","Hà Nội","TP HCM","Hưng Yên","Hà Nam","Vĩnh Phúc","Đà Nẵng","Yên Bái","Quảng Nam","Đồng Nai","Hải Dương","Thái Bình","Quảng Ngãi","Lạng Sơn","Bắc Ninh","Thanh Hóa","Điện Biên","Nghệ An","Nam Định","Phú Thọ","Quảng Ninh","Bắc Giang","Hải Phòng","Thừa Thiên Huế","Đăk Lăk","Hòa Bình","Quảng Trị","Tuyên Quang","Sơn La","Ninh Bình","Thái Nguyên","Long An","Bạc Liêu","Gia Lai","Tây Ninh","Bình Dương","Trà Vinh","Đồng Tháp","Hà Tĩnh","Tiền Giang","Bắc Kạn","Lào Cai","An Giang","Vĩnh Long","Kiên Giang","Khánh Hòa","Phú Yên","Bình Thuận","Cần Thơ","Bà Rịa - Vũng Tàu","Bình Định","Bình Phước","Lâm Đồng","Ninh Thuận","Bến Tre","Sóc Trăng","Cà Mau","Hậu Giang","Đăk Nông","Kon Tum","Hà Giang","Quảng Bình","Lai Châu","Cao Bằng","","","","","",""
"26/6","0","17","2","0","0","6","0","0","0","0","0","0","0","5","0","0","1","0","0","0","14","0","0","0","0","0","0","0","0","0","2","0","0","1","6","0","1","1","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"27/6","0","18","3","0","0","4","0","0","0","0","0","2","0","4","0","0","1","0","0","0","12","0","0","0","0","0","0","0","0","0","3","0","0","1","7","0","1","1","1","1","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"28/6","0","18","3","0","0","4","0","0","0","0","0","3","0","4","0","0","1","0","0","0","11","0","0","0","0","0","0","0","0","0","3","0","0","1","8","0","1","1","1","1","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"29/6","0","18","4","0","0","4","0","0","0","0","0","5","1","4","0","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","4","0","0","1","8","0","2","2","2","1","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"30/6","0","20","5","0","0","3","0","0","1","0","0","6","1","4","0","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","3","0","0","1","10","0","2","2","2","1","0","0","0","0","0","10","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"1/7","0","23","5","0","0","2","0","0","1","0","0","7","1","4","0","0","2","0","0","0","10","0","0","0","0","0","0","0","0","0","5","0","0","0","12","0","2","2","4","1","0","0","0","0","0","12","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"2/7","0","20","5","0","0","2","0","0","1","0","0","7","1","3","0","0","2","0","0","0","9","0","0","0","0","0","0","0","0","0","4","0","0","1","12","0","3","2","3","1","0","1","0","0","0","16","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"3/7","0","27","5","0","0","1","0","0","2","0","0","8","1","3","0","0","2","0","0","0","8","0","0","0","0","0","0","0","0","0","4","0","0","0","13","0","3","2","4","1","0","1","1","0","0","19","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"4/7","0","31","4","0","0","1","0","0","2","0","0","8","1","3","0","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","8","0","0","0","15","0","3","2","6","0","0","1","1","0","1","22","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"5/7","0","36","5","0","0","1","0","0","2","0","0","6","0","2","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","8","0","0","1","19","0","13","2","6","0","0","2","1","0","2","25","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
