"Ngày","Hà Nội","TP HCM","Hưng Yên","Hà Nam","Vĩnh Phúc","Đà Nẵng","Yên Bái","Quảng Nam","Đồng Nai","Hải Dương","Thái Bình","Quảng Ngãi","Lạng Sơn","Bắc Ninh","Thanh Hóa","Điện Biên","Nghệ An","Nam Định","Phú Thọ","Quảng Ninh","Bắc Giang","Hải Phòng","Thừa Thiên Huế","Đăk Lăk","Hòa Bình","Quảng Trị","Tuyên Quang","Sơn La","Ninh Bình","Thái Nguyên","Long An","Bạc Liêu","Gia Lai","Tây Ninh","Bình Dương","Trà Vinh","Đồng Tháp","Hà Tĩnh","Tiền Giang","Bắc Kạn","Lào Cai","An Giang","Vĩnh Long","Kiên Giang","Khánh Hòa","Phú Yên","Bình Thuận","Cần Thơ","Bà Rịa - Vũng Tàu","Bình Định","Bình Phước","Lâm Đồng","Ninh Thuận","Bến Tre","Sóc Trăng","Cà Mau","Hậu Giang","Đăk Nông","Kon Tum","Hà Giang","Quảng Bình","Lai Châu","Cao Bằng","","","","","",""
"6/8","116","4060","","","2","138","","11","554","5","8","5","2","","9","","21","","","","","","2","17","","2","","","8","","859","2","24","102","1169","62","141","13","253","","11","47","63","17","269","43","66","94","","19","5","4","25","52","","","12","4","","1","3","","","","","","","",""
"7/8","10","3930","1","","","","","10","709","11","4","7","","","4","","","","","","","","","","","","","20","2","","367","6","17","134","882","","60","6","165","","4","31","62","17","167","78","61","141","288","17","2","12","22","49","","5","9","7","","1","15","","","","","","","",""
"8/8","114","3898","1","1","1","130","","6","614","3","1","14","2","","4","","","","2","","","","23","41","","","","2","","","724","2","4","","3210","67","92","8","","","3","15","57","18","201","42","46","71","","14","5","21","85","20","94","6","14","7","","","1","","","","","","","",""
"9/8","78","3991","","","","60","","11","538","12","2","18","","","","","12","","","","1","","27","3","","","","1","10","","287","1","14","290","2887","15","77","15","251","","1","37","57","20","33","84","34","98","242","45","5","30","","","","1","18","14","","","3","","","","","","","",""
"10/8","61","3956","","","","74","","8","732","8","4","11","","","","","128","1","","","2","","5","55","","","","2","","","890","4","43","102","1325","8","101","15","100","","12","53","52","29","","37","63","106","109","","","18","61","107","64","2","19","17","","","1","","","","","","","",""
"11/8","40","3416","","","","56","","4","979","4","","14","1","","13","","16","3","","","","","1","","","1","","19","","","963","2","","263","1897","","191","9","177","","","39","63","12","102","66","68","103","181","10","19","","19","","","1","","","","","","","","","","","","",""
"12/8","78","3841","1","","","78","","2","1071","1","6","16","","","6","","14","2","","","","","20","30","","","","","1","","354","3","9","79","3028","91","132","8","212","","1","16","","23","172","46","31","128","","20","6","22","24","34","20","1","14","6","1","","5","","","","","","","",""
"13/8","97","3531","1","","","58","","4","808","4","","10","4","","4","","14","1","","","","","31","7","","8","","","","","623","5","18","61","2816","140","152","15","","","","61","71","8","243","64","28","142","69","12","7","2","7","","","1","3","16","","","4","","","","","","","",""
"14/8","40","4231","","","","87","","","1023","3","2","35","2","1","3","","12","8","","","","","57","26","","4","","17","","","653","3","70","97","2029","16","118","","461","","2","33","57","32","164","40","36","164","77","23","5","14","22","40","","2","","","","","1","","","","","","","",""
"15/8","39","4516","1","","","83","","26","546","5","2","34","","21","2","","27","","","","1","","8","","","8","","","1","","514","","8","159","2358","","271","14","209","","18","34","","19","166","27","39","170","16","22","4","11","22","60","82","6","10","13","","","2","","","","","","","",""
"16/8","50","3341","","1","","96","","11","588","1","","4","4","11","6","","24","6","","","","","60","11","","","","2","3","1","599","2","25","52","2522","71","158","17","152","","2","87","131","32","262","62","33","86","","3","6","8","27","","75","4","6","","","","2","","","","","","","",""
"17/8","61","3559","","","","124","","11","298","","1","5","3","20","12","","16","","","","","","1","24","","5","","","","1","581","3","26","88","3332","79","170","19","411","","4","33","76","31","139","71","55","172","79","12","3","3","11","10","44","2","","","","","","","","","","","","",""
"18/8","46","3731","","","1","134","","53","443","","1","9","1","7","6","1","59","","","","","","17","5","","12","","2","1","","428","1","7","104","2513","","31","8","282","","4","105","61","169","86","65","20","91","","15","","6","8","72","","2","16","13","","","8","","","","","","","",""
"19/8","53","4425","","","","164","","24","657","2","1","16","1","4","6","","45","4","","","7","","","","","9","","26","2","","545","2","","102","3255","51","185","7","478","","","70","60","17","151","44","43","134","","24","8","","7","","","","6","","","","4","","","","","","","",""
"20/8","72","3375","1","1","","167","","17","686","","","9","7","10","3","","61","","","","18","","61","56","","1","","2","2","","495","4","10","122","4223","47","156","15","367","","1","111","23","14","147","27","29","147","57","14","11","4","4","59","","7","","","","","7","","","","","","","",""
"21/8","76","4084","","","","197","","32","551","1","","3","7","3","3","","60","1","1","","2","","6","32","","","","","2","","393","","11","83","6623","24","109","3","589","","","71","","43","76","45","43","100","57","","8","10","4","42","","6","12","","","","4","","","","","","","",""
"22/8","11","4193","","","","183","","16","849","","1","3","5","11","","","68","","","","6","","","12","","3","","15","","","365","","10","83","3795","39","142","20","709","","6","69","49","15","160","38","47","97","107","20","","","5","","138","10","7","39","","","","","","","","","","",""
"23/8","40","4251","","1","","152","","8","623","","","","","2","1","","111","","","","9","","17","128","","","","21","6","","388","5","5","17","3183","34","100","4","459","","","75","10","57","242","43","36","85","154","19","13","1","4","65","","1","","7","","","6","","","","","","","",""
"24/8","66","4627","","1","","153","","11","799","","","1","7","3","5","","28","","","","3","1","13","21","","9","","9","","","393","7","3","105","3628","6","162","10","93","","","42","11","61","203","24","56","72","64","5","20","5","4","12","42","1","9","","","","2","","","","","","","",""
"25/8","96","5294","","","","162","","9","618","","2","2","","3","3","","95","","","","","","","40","","","","4","","","460","7","","119","4129","24","93","15","319","","","50","5","23","150","27","106","90","75","18","7","","6","","4","28","4","5","","","1","","","","","","","",""
